                  playlist_id                  |                                                                                                                                     quiz_prepost                                                                                                                                      
-----------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 PLLkAkU_XmXbS2o2AJkL4NdEmFp4zttaGc            | Penyebab disabilitas pendengaran Anggi Yudistia adalah karena penyakit apa?                                                                                                                                                                                                          +
                                               | A. Demam berdarah                                                                                                                                                                                                                                                                    +
                                               | B. Malaria                                                                                                                                                                                                                                                                           +
                                               | C. Tuberkulosis                                                                                                                                                                                                                                                                      +
                                               | D. HIV/AIDS                                                                                                                                                                                                                                                                          +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana tantangan utama yang dihadapi oleh Anggi dalam mencari pekerjaan?                                                                                                                                                                                                          +
                                               | A. Kurangnya pendidikan tingkat tinggi                                                                                                                                                                                                                                               +
                                               | B. Stigma terkait disabilitas                                                                                                                                                                                                                                                        +
                                               | C. Tidak ada keterampilan teknis                                                                                                                                                                                                                                                     +
                                               | D. Tidak adanya jaringan profesional                                                                                                                                                                                                                                                 +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Berdasarkan video, apa langkah pertama yang harus diambil oleh seseorang yang ingin menjadi social entrepreneur?                                                                                                                                                                     +
                                               | A. Membangun personal branding                                                                                                                                                                                                                                                       +
                                               | B. Menemukan passion dan masalah sosial yang ingin diselesaikan                                                                                                                                                                                                                      +
                                               | C. Mendirikan yayasan non-profit                                                                                                                                                                                                                                                     +
                                               | D. Memulai bisnis komersial terlebih dahulu                                                                                                                                                                                                                                          +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengertian passion dalam konteks video ini adalah...                                                                                                                                                                                                                                 +
                                               | A. Keahlian khusus yang dikuasai seseorang                                                                                                                                                                                                                                           +
                                               | B. Minat atau gairah yang mendalam terhadap sesuatu                                                                                                                                                                                                                                  +
                                               | C. Prestasi akademik yang tinggi                                                                                                                                                                                                                                                     +
                                               | D. Karakteristik kepribadian yang dominan                                                                                                                                                                                                                                            +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana cara menemukan passion Anda menurut video ini?                                                                                                                                                                                                                             +
                                               | A. Dengan mengambil berbagai kursus online                                                                                                                                                                                                                                           +
                                               | B. Melalui pertanyaan introspeksi tentang apa yang bisa membantu orang lain                                                                                                                                                                                                          +
                                               | C. Mengikuti jejak orang-orang sukses di bidang tertentu                                                                                                                                                                                                                             +
                                               | D. Meniru gaya hidup selebriti favorit Anda                                                                                                                                                                                                                                          +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Menurut video, mengapa penting untuk menciptakan keseimbangan antara profesionalisme dan kehidupan pribadi?                                                                                                                                                                          +
                                               | A. Agar bisa fokus pada satu bidang saja                                                                                                                                                                                                                                             +
                                               | B. Untuk menjaga kesehatan fisik dan mental yang baik                                                                                                                                                                                                                                +
                                               | C. Supaya lebih mudah mendapatkan promosi di tempat kerja                                                                                                                                                                                                                            +
                                               | D. Sebagai cara untuk menghindari tanggung jawab profesional                                                                                                                                                                                                                         +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengalaman ibu dan anak dalam menjual sirsak sebagai es buah di awal video menghadapi                                                                                                                                                                                                +
                                               | A. Sukses besar dengan banyak pembeli                                                                                                                                                                                                                                                +
                                               | B. Kegagalan untuk mendapatkan pelanggan                                                                                                                                                                                                                                             +
                                               | C. Kerjasama sempurna tanpa hambatan                                                                                                                                                                                                                                                 +
                                               | D. Penolakan dari penjual lain                                                                                                                                                                                                                                                       +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Proses belajar dalam video melibatkan apa yang dilakukan oleh ibu dan anak?                                                                                                                                                                                                          +
                                               | A. Membuat rencana bisnis formal                                                                                                                                                                                                                                                     +
                                               | B. Mengamati dan meniru cara penjual es buah lainnya                                                                                                                                                                                                                                 +
                                               | C. Menunggu bantuan dari mentor profesional                                                                                                                                                                                                                                          +
                                               | D. Berhenti menjual sirsak karena kegagalan awal                                                                                                                                                                                                                                     +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks video ini, bagaimana kreativitas dapat dikembangkan?                                                                                                                                                                                                                   +
                                               | A. Melalui pengaruh langsung guru atau pembimbing                                                                                                                                                                                                                                    +
                                               | B. Dengan belajar dari lingkungan dan situasi yang dihadapi                                                                                                                                                                                                                          +
                                               | C. Mengikuti instruksi tanpa mencari pemahaman lebih dalam                                                                                                                                                                                                                           +
                                               | D. Meniru ide-ide orang lain tanpa modifikasi                                                                                                                                                                                                                                        +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana narasumber, Ajjara Poolswasd, mendapatkan inspirasi untuk menjadi pengusaha sosial?                                                                                                                                                                                        +
                                               | A. Melalui pelatihan formal di sekolah                                                                                                                                                                                                                                               +
                                               | B. Dari lingkungan keluarga dengan mencoba berkreasi dan belajar dari lingkungan sekitar                                                                                                                                                                                             +
                                               | C. Mengikuti arahan langsung dari mentor bisnis                                                                                                                                                                                                                                      +
                                               | D. Meniru cara orang lain tanpa modifikasi                                                                                                                                                                                                                                           +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Proses yang dibahas dalam video ini memberikan rasa apa pada ibu?                                                                                                                                                                                                                    +
                                               | A. Kekecewaan dan putus asa                                                                                                                                                                                                                                                          +
                                               | B. Rasa tenang karena melihat anaknya dapat memahami situasi dan bertindak mandiri                                                                                                                                                                                                   +
                                               | C. Kesalahan dalam berinteraksi dengan pelanggan                                                                                                                                                                                                                                     +
                                               | D. Kecemasan terhadap kegagalan bisnis                                                                                                                                                                                                                                               +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks penjualan sirsak, apa yang paling penting untuk dilakukan oleh ibu dan anak?                                                                                                                                                                                           +
                                               | A. Menunggu kesempatan tanpa tindakan proaktif                                                                                                                                                                                                                                       +
                                               | B. Mengamati dan belajar dari cara penjual lain berinteraksi dengan pelanggan                                                                                                                                                                                                        +
                                               | C. Melakukan iklan melalui media sosial saja                                                                                                                                                                                                                                         +
                                               | D. Berhenti menjual sirsak karena gagal mendapatkan pembeli                                                                                                                                                                                                                          +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam video ini, bagaimana pentingnya observasi dan belajar dari lingkungan untuk bertindak mandiri?                                                                                                                                                                                 +
                                               | A. Melalui peniruan langsung tanpa pemahaman situasional                                                                                                                                                                                                                             +
                                               | B. Dengan mengamati dan meniru cara penjual lain berinteraksi dengan pelanggan                                                                                                                                                                                                       +
                                               | C. Mengandalkan bantuan orang tua terus menerus                                                                                                                                                                                                                                      +
                                               | D. Tidak ada yang penting, cukup mencoba sendiri saja                                                                                                                                                                                                                                +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengertian social entrepreneur menurut video tersebut adalah...                                                                                                                                                                                                                      +
                                               | A. Orang yang berbisnis untuk keuntungan pribadi saja                                                                                                                                                                                                                                +
                                               | B. Orang yang menggunakan bisnisnya untuk menyelesaikan masalah sosial                                                                                                                                                                                                               +
                                               | C. Orang yang tidak peduli dengan isu-isu sosial                                                                                                                                                                                                                                     +
                                               | D. Orang yang hanya fokus pada pengembangan produk atau jasa                                                                                                                                                                                                                         +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana Angkie Yudhasmara berhasil mempengaruhi penerbitan peraturan pemerintah yang mendukung penyandang disabilitas?                                                                                                                                                             +
                                               | A. Dengan menghindari interaksi dengan birokrasi pemerintah                                                                                                                                                                                                                          +
                                               | B. Melalui pendekatan komunikasi efektif dan sinergi antar kementerian                                                                                                                                                                                                               +
                                               | C. Menggunakan media sosial untuk kampanye saja                                                                                                                                                                                                                                      +
                                               | D. Berkoordinasi hanya dengan satu departemen pemerintahan tertentu                                                                                                                                                                                                                  +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks video ini, bagaimana social entrepreneur dapat memaksimalkan pengaruh mereka dalam mengatasi isu-isu sosial?                                                                                                                                                           +
                                               | A. Dengan tidak melibatkan diri dalam masalah-masalah sosial                                                                                                                                                                                                                         +
                                               | B. Melalui pendekatan bisnis yang hanya berfokus pada keuntungan finansial                                                                                                                                                                                                           +
                                               | C. Menggunakan strategi komunikasi dan kerjasama lintas sektor untuk mencapai tujuan sosial                                                                                                                                                                                          +
                                               | D. Menjalankan bisnis secara independen tanpa melihat dampak sosialnya                                                                                                                                                                                                               +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
